str_no_string|,
str_comment_i_blamed_defeat|Ամենայն ոք գիտէ զի ոչ հաճիմ ընդ գործս {s54} ի նպաստ {s51}: Զի ոչ մոռացայ զի այս այր տարաւ զմեզ ի պարտութիւն առաջի {s56}:
str_comment_i_was_entitled_to_fief|Յարաբերութիւնք իմ ընդ {s54} ոչ են բարւոք, քանզի նա ետ զհողսն զորս պարտ էր տալ ինձ՝ այնմ մարդոյ զոր կոչեն {s54}.
str_comment_i_quarreled_with_troop_over_woman|Այն այր զոր կոչեն {s51} կամի ամուսնանալ ընդ {s54}, մինչդեռ ես յառաջագոյն խնդրէի զնա: Ուսուցից այնմ մարդոյ զի հեռի կացցէ ի նմանէ:
str_comment_i_quarreled_with_you_over_woman_default|Լուեալ եմ թէ հետամուտ ես {s54}: Գիտեմ զի դու ոչ ես պատշաճ այր վասն այնմ կնոջ, եւ խրատեմ զքեզ դադարել ի հետեւելոյ նմա:
str_comment_i_quarreled_with_you_over_woman_derisive|Լուեալ եմ թէ հետամուտ ես {s54}: Ասացից քեզ ինչ -- ես ակն ունէի ի նա յայնմհետէ յորժամ ես էի մանուկ եւ նա օրիորդիկ մի: Նա է յազնուական տոհմէ այսր երկրի, եւ ոչ թոյլ տաց զի միտք նորա խռովեսցին յօտարականէ միոջէ որպէս դուդ ես: Հեռի՛ կաց ի նմանէ, ապա թէ ոչ՝ վճարեսցես զգինն!
str_comment_player_suggestion_succeeded|Սին խրատու քում հետեւեցայ եւ այս օգտակար եղեւ ինձ:
str_comment_player_suggestion_failed|Հետեւեցայ խրատու քում եւ բազում չարիք անցան ընդ իս: Զքեզ համարիմ պատասխանատու վասն այսր:
str_comment_you_enfiefed_a_commoner_hesitant|Լուեալ եմ թէ տուեալ ես զգաւառն {s51} միումն ոմն որ կոչէ զինքն {s54}: Զգո՛յշ լեր: Ուսանել զկառավարումն ոչ է պարզ գործ, եւ թերեւս վասն այսր հարք թողուն զգործս իւրեանց որդւոց իւրեանց: Խրատեմ քեզ՝ մի՛ խառներ զայլ ոք ի տոհմական գործս:
str_comment_you_enfiefed_a_commoner_derisive|Հասկացայ թէ տուեալ ես զգաւառն {s51} միումն ոմն որ կոչէ զինքն {s54}: Նախնիք մեր խրատէին զմեզ ոչ յաւելուլ զփտեալ օղակս յազնուական շղթայս: Յիշեա՛ զայս:
str_comment_you_enfiefed_a_commoner_nasty|Հասկացայ թէ տուեալ ես զգաւառն {s51} միումն ոմն որ կոչէ զինքն {s54}: Տե՛ս դու! Շուն մի յանկարծ դարձաւ տէր:
str_comment_marriage_normal_family|Շնորհաւորեմ զամուսնութիւն քո ընդ դստեր իմոյ {s50}: Արդ կարես համարել զանձն քո որպէս մասն այսր տոհմի:
str_comment_marriage_normal|Շնորհաւորեմ զամուսնութիւն ձեր ընդ {s50}: Ըստ լրոց՝ դուք երկոքինդ յոյժ պատշաճէք միմեանց:
str_comment_marriage_normal_nasty|Բարի՛ -- շնորհաւորեմ զամուսնութիւն քո ընդ {s50}: Նա էր յիմար օրիորդ մի որ ոչինչ հասկանայր յարդարութենէ:
str_comment_marriage_elopement_family|Բարի՛... Հաճեցուցեր դու զդուստրն իմ ({s50}) ամուսնանալ ընդ քեզ: Ոչ գիտեմ թէ որպէս համոզեցեր զնա, բայց տոհմ մեր ոչ մոռասցի զայս նուաստացումն:
str_comment_marriage_elopement_liege|Լուեալ եմ թէ փախեալ ես ընդ {s50} առանց հաճութեան տոհմի նորա: Ոչ եմ հաճեալ: Տոհմ նորա է ի կարեւոր տեարց այսր երկրի, եւ ոչ թոյլ տաց զի նոքա թուեսցին խաբեալք:
str_comment_you_broke_truce_as_my_vassal|Լուեալ եմ թէ յարձակելով ի վերայ {s55} դրժեցեր զզինադադարն զոր արարի ես: Գիտե՞ս թէ որպիսի տեսիլ տաց ես այսու: Եթէ գործեցեր ըստ հրամանաց իմոց՝ համարիցիմ անպատիւ ոք: Ապա թէ ոչ՝ թուիցիմ տկար: Պատշաճ էր ինձ մեղադրել զքեզ մատնութեամբ աստէն եւ անդ:
str_comment_you_attacked_neutral_as_my_vassal|Լուեալ եմ թէ յարձակեցար ի վերայ {s55}: Ետուր դու նոցա զիրաւունս յարձակելոյ ի վերայ իմ եթէ կամեսցին: Տեսցուք զինչ լինիցի:str_personality_archetypes|բնաւորութիւնք
str_personality_archetypes|սենեոր
str_martial|Ռազմաշունչ
str_quarrelsome|Կռուազան
str_selfrighteous|Ինքնարդար
str_cunning|Խորամանկ
str_debauched|Անգութ
str_goodnatured|Բարեբարոյ
str_upstanding|Ուղղամիտ
str_roguish|Խաբեբայ
str_benevolent|Բարերար
str_mercantile|Վաճառականական
str_surrender_demand_default|Անձնատո՛ւր լեր կամ մեռի՛ր!
str_surrender_demand_martial|Այսօր բախտն ոչ է ընդ քեզ: Կարես դու պատերազմել ընդ մեզ, բայց ոչ է ինչ ամօթալի յանձնատուր լինելն:
str_surrender_demand_quarrelsome|Անկար դու ի ծակ! Յանձնատուր լե՛ր, ապա թէ ոչ՝ անցից ի վերայ քո որպէս ի վերայ շան!
str_surrender_demand_pitiless|Ոչ կարես յաղթել ինձ! Եթէ փորձեսցես՝ տաց քեզ զգալ զմեծ դառնութիւն! Յանձնատուր լե՛ր!
str_surrender_demand_cunning|Յոյժ տկար ես դու առաջի մեր: Յանձնատուր լե՛ր! Եթէ ոչ խորհես զանձնէ քումմէ՝ խորհեա՛ զմարդկանց քոց:
str_surrender_demand_sadistic|Յանձնատուր լե՛ր, ապա թէ ոչ՝ պատառոտեցից զքեզ որպէս զձուկն!
str_surrender_demand_goodnatured|Առաւելութիւնն է ի ձեռս մեր: Յանձնատուր լե՛ր, եւ ընկալցիս զյարգանս պատշաճս պատուոյ քում:
str_surrender_demand_upstanding|Կարես պատերազմել ընդ մեզ, բայց յայնժամ մեծաւ հաւանականութեամբ բազումք ի մարդկանց քոց մեռանիցին եւ դու պարտեսցիս: Յանձնատուր լե՛ր, զի մի՛ անմեղ արիւն հեղցի:
str_surrender_offer_default|Կա՛ց! Յանձնատուր լինիմ!
str_surrender_offer_martial|Կա՛ց! Յանձնատուր լինիմ!
str_surrender_offer_quarrelsome|Բաւակա՛ն է! Այսօր դու յաղթեցեր, շո՛ւն! Ա՜հ, անիծեա՛լ լիցի:
str_surrender_offer_pitiless|Յանձնատուր լինիմ! Դու յաղթեցեր: Անիծեա՛լ լիցի օրս այս!
str_surrender_offer_cunning|Կա՛ց! Յանձնատուր լինիմ!
str_surrender_offer_sadistic|Անձնատուր լինիմ! Անձնատուր լինիմ! Կոչեա՛ յետ զքո շունս!
str_surrender_offer_goodnatured|Յանձնատուր լինիմ! Շնորհաւորեմ զյաղթանակ քո, {տէ՛ր/տիկի՛ն իմ}!
str_surrender_offer_upstanding|Յանձնատուր լինիմ! Տո՛ւք զպատիւ պատերազմի ինձ եւ ձեզ:
str_lord_declines_negotiation_offer_default|Թերեւս, բայց ես ընտրեմ պատերազմել:
str_lord_declines_negotiation_offer_martial|Թերեւս, բայց պարտք իմ է պատերազմել ընդ ձեզ, եւ ոչ յանձնատուր լինել:
str_lord_declines_negotiation_offer_quarrelsome|Հա՛հ! Անշուշտ պատերազմեցից ընդ քեզ:
str_lord_declines_negotiation_offer_pitiless|Ի՞ն էր փոյթ ինձ? Պատերազմեցից ընդ քեզ:
str_lord_declines_negotiation_offer_cunning|Ա՜հ. Ցաւալի է, գիտես արդէն, ես պատերազմեցից ընդ քեզ:
str_lord_declines_negotiation_offer_sadistic|Զգո՛յշ լեր խօսից քոց! Զի պէտք լիցին քեզ յորժամ աղաչեսցես զիս:
str_lord_declines_negotiation_offer_goodnatured|Ցաւիմ -- ոչ կարեմ թողուլ զի երթայցես:
str_lord_declines_negotiation_offer_upstanding|Թերեւս, բայց պարտաւորութիւն իմ առ տեարս իմ պահանջէ պատերազմել ընդ ձեզ, եւ ոչ յանձնատուր լինել:
str_prisoner_released_default|Երախտապարտ եմ ձեզ, {տէ՛ր/տիկի՛ն իմ}: Ոչ մոռացայց զայս նրբագեղութիւն:
str_prisoner_released_martial|Յիրաւի պատուական {այր/կին} ես դու, {տէ՛ր/տիկի՛ն իմ}: Ոչ մոռացայց զայս:
str_prisoner_released_quarrelsome|Բեն ազա՞տ եմ ես: Դէ՛... բարի՛, տեսցուք ուրեմն!
str_prisoner_released_pitiless|Շնորհակալ եմ: Յորժամ դու վերջապէս ճաշակեսցես զպարտութիւն՝ մաղթեցից զի մահ քո լիցի յանկարծակի եւ գթառատ: Ապա թէ կամիցիս յարիլ ի մեզ՝ այլ է բանն... Ողջ լե՛ր, առ այժմ:
str_prisoner_released_cunning|Այդպէ՞ս: Դու բարի {այր/կին} ես: Պարտիմ գտանել զճանապարհ հատուցանելոյ քեզ:
str_prisoner_released_sadistic|Այդպէ՞ս: Չարութիւն քո է այնքան սուր՝ զի փոխանակ տեսանելոյ զիս ի շղթայս, նախընտրեցեր տեսանել զիս ազատ բայց նուաստացեալ: Վայելեա՛ զյաղթանակ քո!
str_prisoner_released_goodnatured|Յիրաւի պատուական {այր/կին} ես դու, {տէ՛ր/տիկի՛ն իմ}: Ոչ մոռացայց զայս:
str_prisoner_released_upstanding|Յիրաւի պատուական {այր/կին} ես դու, {տէ՛ր/տիկի՛ն իմ}: Ոչ մոռացայց զայս:
str_enemy_meet_default|Այդպէս զինեալ եկիր առաջի իմ, ո՞վ ես դու?
str_enemy_meet_martial|Զի՞նչ է անուն ձեր, {տէ՛ր/տիկի՛ն իմ}? Զի եթէ պատերազմեսցուք՝ գիտացից թէ ընդ ում մարտնչիմ:
str_enemy_meet_quarrelsome|Դու ո՞վ ես յիրաւի?
str_enemy_meet_pitiless|Ո՞վ ես դու: Խօսեա՛! Խօսեա՛ զի գիտացից թէ զո՞վ պատառոտեմ!
str_enemy_meet_cunning|Ասա՛ ինձ զանուն քո: Ճանաչել զթշնամին միշտ բարի է:
str_enemy_meet_sadistic|Ո՞վ ես դու: Խօսեա՛ յառաջ քան զհատանելն իմ զլեզու քո!
str_enemy_meet_goodnatured|Զի՞նչ է անուն ձեր, {տէ՛ր/տիկի՛ն իմ}? Զի եթէ պատերազմեսցուք՝ գիտացից թէ ընդ ում մարտնչիմ:
str_enemy_meet_upstanding|Ո՞վ է այս անզգամն որ կայ ի մէջ մեր եւ արդար դատի մերոյ?
str_battle_won_default|Այսօր ցուցեր դու զքեզ որպէս յոյժ օգտակար դաշնակից:
str_battle_won_martial|Չիք ինչ մեծագոյն բախտ քան զցուցանելն զքաջութիւն քո ի ճակատ պատերազմի:
str_battle_won_quarrelsome|Հա՛հ! Ցուցուցաք այնոցիկ մարդկանց զօր իւրեանց, ոչ այդպէս?
str_battle_won_pitiless|Միասին ուսուսցուք թշնամեաց մերոց զի պարտին սոսկալ յորժամ լսեն զանուանս մեր!
str_battle_won_cunning|Արդ պարտիմք շարունակել զճնշումն: Պարտիմք յառաջ տանել զդատ մեր զի արիւնն հեղեալ այսօր ոչ լիցի ի զուր:
str_battle_won_sadistic|Բարի՛, արդ կողոպտեսցուք զդիակս նոցա եւ թողցուք զնոսա բացօթեայ կերակուր ագռաւուց, զի տեսողքն գիտասցեն թէ զինչ լինիցի այնոցիկ որք հակառակին մեզ:
str_battle_won_goodnatured|Այս էր բարի պատերազմ! Չիք ինչ հաճելի որպէս զցնծութիւն յաղթանակի, ոչ այդպէս?
str_battle_won_upstanding|Գոհացուք զԱստուծոյ վասն տալոյ մեզ զայս յաղթանակ, ապա ողբացուք վասն բարի մարդկանց որք մեռան այսօր աստ:
str_battle_won_grudging_default|Այսօր փոխեցեր դու զընթացս պատերազմի: Զոր ինչ եւ խորհեսցիմ վասն քո՝ ոչինչ կարեմ ասել ընդդէմ քաջութեան քոյ!
str_battle_won_grudging_martial|{playername}, որչափ եւ շփոթեցուցեր դու զիրս յանցեալումն՝ այսօր ապացուցեր զարժէք քո:
str_battle_won_grudging_quarrelsome|Հըմմ. Սովորաբար տեսութիւն դիմաց քոց ոչ է այն՝ զոր կամիմ տեսանել, բայց խորհիմ թէ պարտիմ շնորհակալ լինել քեզ վասն արարածոց քոց այսօր:
str_battle_won_grudging_pitiless|Օգնութիւն քո այսօր էր յոյժ պատուական: Ոչ կարեմ խորհել թէ եկիր օգնել վասն բարութեան քոյ, բայց տակաւին շնորհակալ եմ քեզ:
str_battle_won_grudging_cunning|Ոչ պատշաճէր ինձ ոչ շնորհակալ լինել քեզ վասն գալոյ յօգնութիւն իմ ի ժամու կարօտութեան: Այսինքն... շնորհակալ եմ, երախտապարտ եմ:
