dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Կամիմ յետաձգել զկարգումն տիրոջն, մինչեւ խորհրդակցեցայց ընդ հպատակս իմ:
dlga_reginhard_calm2:reginhard_calm3|{s2}^^Յառլն խաբեաց զիս, ասաց ինձ թէ կամի հանդիպիլ Տիադերդայ վասն խաղաղ բանակցութեանց, բայց Տիադերդ իմաստնագոյն էր քան զիս եւ իսկոյն ասաց թէ այս թակարդ է:^Բայց ես համոզեցի զնա, եւ նա առաքեաց զեղբայր իւր ուղեկցել ինձ ի գաղտնի հանդիպումն ընդ Յառլին: Որպէս եւ ասացեալ էր Տիադերդ, մեզ խայծ տուին ի ծաղր, զեղբայր նորա Յառլն մահապատժի ենթարկեաց՝ արարեալ նմա «Արիւնոտ արծիւն», սոսկալի է այս ամենայն յիշել:
dlga_kinghorik_ulf_testigo31:lord_pretalk|Դէ, անկեղծ ասացեալ, ես զարմացեալ եմ, թէ որպէ՞ս դուք յաջողէք յամենայնի: Յորժամ լիցիք պատրաստ երթալ յԱտեանն, ծանուցէ՛ք ինձ:
dlga_helgi_conversationcamp4:helgi_conversationcamp5|Աւծի զերեսս իմ մոխրով եւ զգեցայ հանդերձս խաւարչտինս: Ապա եկի ի դաստակերտ նորա եւ սպանի զնա ի քնի նորում: Ապա ստիպեալ եղէ փախչիլ յարեւմուտս: Եւ ամենայն զոր պատմեցի քեզ յառաջագոյն՝ ճշմարտութիւն էր՝ ամբողջացեալ մինչեւ ի վերջ: Վասն իմ դու հոյակապ առաջնորդ ես եւ ուրախ եմ լինել ի գնդի քում:
dlga_addonsmaelflaithbertach3_2:addonsmaelflaithbertach4|Ենթադրեմ, դուք պարզապէս սակաւ զրուցեցայք ընդ նմա, զի ճանաչեսջիք զնա լաւագոյնս, բայց դարձցուք ի գործս: Ահա վարձն վասն գտեալ թոռանցն Ֆլաիթբերտախայ:
dlga_village_fief_award:close_window|Շնորհակալ եմ, արքա՛յ: Ես հոգացայց վասն բարգաւաճման այսր հողոյ:
dlga_alfredthegreat9:close_window|Դէ ինչ, դարձարո՛ւք առ ձեր եարլն, Բյերն Ռագնարսսոն, եւ փոխանցեցէ՛ք նմա, զի մեք պատրաստ եմք բանակցութեանց վասն նորա մեկնման ի Սնոտտինգահամէ եւ յետագայ խաղաղութեան: Ես տաց իմոց մարդկանց հրահանգ ոչ յարձակիլ ի վերայ ձեր:
dlga_companion_request_leave:close_window|Երթա՛, բարեկա՛մ: Քո ընտանիքն է առաւել կարեւոր: Ես սպասեցից քո դարձին:
dlga_start:village_elder_gratitude_final_v7|Դուք փրկեցէ՛ք զմեր զաւակունս ի կրակէն! Մեք ոչ ունիմք բանս վասն շնորհակալութեան:
dlga_start:town_well_poisoned|Ջուրն ի ջրհորի է թունաւորեալ! Բազում մարդիկ մեռան յառաւօտուն!
dlga_port_prisoners_2:port_prisoners_3|Այո՛, ունիմ ես կալանաւորս:
dlga_kennemerjarl_juicio_3:kennemerjarl_juicio_5|Բարի, իսկ զի՞նչ վասն մեր դաշինքի? Կարե՞մ արդ միանալ որոնման Սուենայ:
dlga_prisionero_interrogation2:pretalkdc|Ես պատմեցի ձեզ զամենայն, զոր գիտեմ:
dlga_player_siege_tributo2:player_siege_tributo_accept|Դէ ինչ, տեսանեմ զի մեք համաձայնեցաք: Ես կամիմ {s18} ոսկի:
dlga_addonsmaelflaithbertach4:addonsmaelflaithbertach5|Նա ասաց ինձ, զի ես ընկալայց յոյժ առաւել ոսկի: (Համոզումն)
dlga_pretalk:bandit_meet|Կա՛ց! Զկեա՞նսդ կամ զքսակդ!
dlga_ulf_testigo2:ulf_testigo3|Ես նախընտրեմ խօսիլ վասն դստեր իմոյ: Նա յղի է ի քէն: Ապաւրինի մանուկն – մարդ է առանց ապագայի: Դուք անպատուեցէք զիմ տուն եւ զիմ դուստր: Ես ներկայացուցից զիմ փաստարկսն յԱտենի:
dlga_merchant_shipwreck:merchant_help_gold|Ահա քեզ 1000 ոսկի: Գնեա՛ նոր նաւ եւ սկսարո՛ւք դարձեալ: Ես հաւատամ քո յաջողութեան:
dlga_kinghorik_quest_thething24:kinghorik_quest_thething25_2|Որ վերաբերի մահուան Օլվիրայ Սպիտակագլխի, դատարանն վճռէ, զի տեղի ունէր ինքնապաշտպանութիւն, վասն որոյ մեղադրանքն ի մարդասպանութեան բարձեալ լիցի:
dlga_priest_fasting:close_window|Թող ձեր աղաւթքն հասցեն առ Աստուած: Ես ոչ տաղտկացուսցից զձեզ:
dlga_town_starvation:town_encourage|Մի՛ լքանիք զյոյս! Շուտով մեք ճեղքեսցուք զպաշարումն!
dlga_lord_offer_smth1:lord_offer_smth1bb|Ձեր {s11}, {s33}, է սքանչելի: Թոյլ տո՛ւք խնամախօսել առ նա, եւ ես ազատեցից զձեզ:
dlga_agathinos_conversationcamp2:agathinos_conversationcamp3|Ագաթինոս, զի՞նչ նշանակէ այս:
dlga_start:lady_farewell_v2|Երթա՛յք բարեաւ, իմ ասպետ: Ես աղաւթեցից վասն ձերոյ դարձի:
dlga_start:viking_skald_song_final_v3|Ես յօրինեցից զսագա վասն ձերոյ քաջութեան! Թող սերունդքն երգեսցեն զայն!
dlga_lord_retirement:close_window|Դուք վաստակեցէ՛ք զհանգիստ, լո՛րդ: Մնացէ՛ք բարեաւ:
dlga_start:prison_guard_talk.1|Այո՞, ձերդ վեսափառութիւն:
dlga_addonsmaelflaithbertach2:addonsmaelflaithbertach3|Այո՛, նա է հարուստ այր եւ առատաձեռնութիւն նորա ոչ ունի սահմանս:
dlga_start:archer_talk2|Բարի՛ աւր, ողջունեմ զքեզ, {reg59?տիկին:երիտասարդ}: Ես պարապիմ պատրաստութեամբ աղեղնաւորաց վասն Յառլին Կեննեմերայ: Կամի՞ս արդեաւք վարժիլ: Դիմեա՛ առ իս, եւ ես սիրով փոխանակ տասն ոսկւոյ տաց քեզ աղեղն կամ նետողական տէգս:
dlga_start:lord_political_marriage|Եթէ դուք ամուսնանայք ընդ իմ քոյրն, մեր դաշինք լիցի անխախտ: Զի՞նչ ասէք?
dlga_bodo_choiceside1:bodo_choiceside21|Բոդո՛, յիշեցո՛ ինձ զառաքելութենէ քումմէ:
dlga_kennemerjarl_enemistad21:kennemerjarl_enemistad22_f|Ինձ ժամ է: Մնացէ՛ք բարեաւ:
dlga_clovisvshegil_conv6_2:close_window|Արդեօ՞ք այս հարցում էր: Կարծէի լոկ խօսէաք:
dlga_sven_comprapr:close_window|Ես չունիմ այնչափ դրամս: Մնացէ՛ք բարեաւ:
dlga_alfredthegreat82:alfredthegreat9|Դուք մարտիկ էք, եւ ոչ առաջնորդ: Յորժամ ի ձէնջ կախեալ են կեանքք այլոց, պարտ է խնամով կշռել զիւրաքանչիւր որոշումն: Ոչ զամենայն ինչ պարտ է լուծանել արիւնահեղութեամբ: Դանիացիք ունին բազում մարդիկ ի Սնոտինգեմ, իսկ պարիսպք նորա բարձր են: Եթէ մեք եւ կարասջուք յաղթել ի մարտի, ես հաւաստի ոչ եմ, թէ այն արժէ՞ զայդ: Բացի այդ, մեզ աստ կարեն հասանել ձմեռնային սառնամանիքք, իսկ մեք հեռի եմք ի տանէ: Որչափ եւ ծանր լիցի նոցա սովամահ լինել ի ներքս, մեզ առաւել ծանր լիցի սովամահ լինել արտաքս:
dlga_stable_master:stable_buy|Ցո՛յց ինձ ձեր լաւագոյն ձիերն:
dlga_start:companion_rivalry_climax|Ես այլեւս ոչ կարեմ ծառայել ընդ {s12}! Կամ նա երթայցէ, կամ ես!
dlga_bodo_danishcamp4:bodo_danishcamp6|Ես խորհիմ թէ դուք չափազանցէք: «Ճակատագիր անառարկելի է»:
dlga_solveig_conversationcamp4:close_window|Շփոթեալ եմ ես: Նախ ընդունիս զիս ի գունդ քո, այլ ապա ասես, թէ պարտիմ նստիլ ի տան եւ եփել կերակուր վասն առն: Կատակե՞ս արդեաւք: Հա՛:
dlga_bodo_choiceside141:bodo_choiceside15.1|Ինձ վատ է աստ: Ներեցէ՛ք, բայց ես վերադառնամ ի Կոստանդնուպօլիս:
dlga_sigurd_quest_revenge32:sigurd_quest_revenge322|Ձեր հաւատարմութիւնն յապաղեալ է: Դուք սոսկ անդամալոյծ էք, որ խափանեց զիմ ծրագիրս ի Ֆրիզիա: {s4} խոստացաւ ինձ վեց հարիւր մարտիկս վասն արշաւանին յԱնգլիա: Իսկ արդ ես ոչինչ ոչ ունիմ:
dlga_kennemerjarl_enemistad2:kennemerjarl_enemistad21|Այո՛, ես յայսմ հաստատուն եմ: Ի պատիւ ծառայութեանց, մատուցելոց քոյդ, ես տաց ձեզ քանի մի աւուրս յառաջնութիւն: Յետոյ ես առաքեցից վարձու մարդասպանս ի վերայ ձեր, եւ սահմանեցից բարձր գին վասն ձերոյ գլխոյ: Ձեզ հարկ լիցի ննջել հանապազ միով բաց ականջաւ, եւ պահել դաշոյն ընդ բարձիւ: Այսպիսի ոչ երկար յապագայ սպասէ ձեզ:^Եթէ դուք ոչ թողջիք զՖրիզիա եւ մեք հանդիպեսցուք, ես սպանից զձեզ մերկ ձեռաւք:
dlga_torture_menu:torture_menu1|Ես կամիմ, զի ծանօթասցիս ընդ միոյ գերւոյ.
dlga_start:priest_temptation_defeated_final_v3|Դուք յաղթեցէ՛ք սատանային! Ձեր հոգին է արդ մաքուր որպէս ձիւն!
dlga_lord_talk:cundwalh_historia|Ես լուայ, զի դուք հռչակաւոր զաւրավար էք:
dlga_start:lady_jealousy|Ես տեսայ ձեզ խօսելիս ընդ այնմ կնոջ! Միթէ դուք մոռացայք զձեր խոստումն?
dlga_halfdan_ad_74:halfdan_ad_75|Հաճելի է գիտել, զի վերջապէս ես լիցիմ վարձատրեալ: Վճարեցէ՛ք եւ լիցին ձեզ անասունք:
dlga_start:companion_history_reunion|Ես գտայ զիմ եղբայրն! Նա էր ծառայ յայսմ դղեակի!
dlga_village_elder_talk:village_elder_info|Պատմեա՛ ինձ զքէն եւ զգեւղէ քումմէ:
dlga_morrigan_flirt1:morrigan_flirt2_2|Ունիմ ես պատուական մատանի: Հաճո՞յ է քեզ:
dlga_start:frisianship_merchant_talk|Բարի օր: Կարելի է շարունակել զուղի մեր: Պատրա՞ստ էք:
dlga_problema_juicio2:problema_juicio3.2|Ես եմ {playername}. Յիշեա՛ զանուն իմ, կրօնաւո՛ր, ապա թէ ոչ իմ աստուածքն այրեսցեն զքո հանդերձս: Արդ, անցցո՛ւք ի գործ...
dlga_traveller_talk:traveller_news|Զի՞նչ լուրք են յաշխարհի:
dlga_spouse_show_hijo2:spouse_show_hijo3|{s4}
dlga_capture_slave_pretalk_2:capture_slave_talk|Ես փախեայ ի մերձակայ գեւղջէն եւ թագչիմ աստ, խորհելով, թէ զի՞նչ արարից յետոյ.
dlga_start:rebel_leader|Մեք յոգնեցաք ի լծոյ բռնաւորաց! Մենք կամիմք ազատութիւն! Յարեսջի՞ք առ մեզ?
dlga_start:scout_ambush_v2|Տէ՛ր իմ, թշնամիք թագչին ի յայսմ կիրճի! Մեք պարտիմք շրջանցել զնոսա:
dlga_mayor_enterprise_2:mayor_enterprise_3_weaving_linen|Կտաւագործարան:
dlga_lord_request_help3:lord_pretalk.1|Իրականում, ինձ փոյթ ոչ է, թէ զի՞նչ նոքա խորհին վասն իմ:
dlga_bodo_carta12:bodo_carta13.1|Բարի, բայց ես ոչ փոխեցից զորոշումն իմ: Նամակն ընկալցին Արեւմտեան Սաքսոնացիքն:
dlga_eormenred_historia5:lord_pretalk|Շնորհակալ եմ, տէ՛ր: Ես բազում ինչ ըմբռնեցի ի ձերմէ պատմութենէ, եւ ոչ խառնեցայց ի պիկտացւոց գործս:
dlga_lord_reveal5ac:lord_fight_start|Շուտով դուք ոչինչ կարասջիք ասել իմում տեառն!
dlga_start:companion_request_leave_v5|Տէ՛ր իմ, ես պարտիմ դառնալ ի տուն: Իմ մայր է հիւանդ, եւ ես եմ միակ որդի:
dlga_conversation_companioncamp:agathinos_conversationcamp1|Ողջո՛յն, {playername}: {reg59?Տիկին:Բարեկամ} իմ, քննէաք մեք թէ լոկ զօրավար ես դու, թէ՞ ունիս այլ տենչանք: Զորաւրինակ, դու Բրետվալդա ես: Այո՛, այո՛, լինել տիրակալ բովանդակ Բրիտանիոյ: Ներեա՛ կանխաւ, եթէ հարցուածս այս թուեցաւ քեզ կոպիտ: Այլ ափսոս որ կոպիտ եղէ: Իսկ այժմ, խնդրեմ, ծանոթացի՛ր՝ Հերակլէս:
dlga_seneschal_quest_6:seneschal_quest_7.2|Հմմ, դուք խիստ քաջ էք, զի ստանձնէք զխնդիր միաւորելոյ զամենայն փոքր թագաւորութիւնս եւ զհակասական լորդս Գէլացւոց ընդ ձերով հրամանատարութեամբ:^Եթէ կամիք մտանել ի պատմութիւն, եւ զի ես գրեցից վասն ձեր ձեռագիր, ապա ձեզ պարտ է դառնալ Տիրակալ Իրլանդիոյ եւ հնազանդեցուցանել զտարածս, յորս մտանեն քաղաքքն: Այլեխ, Կրուէգան եւ Տեմար:^^Յաջողութի՜ւն ձեզ: Եւ դարձարո՛ւք, յորժամ կատարեսջիք զառաքելութիւնն, յայնժամ ես փառաւորեցից զձեզ ի վերայ թղթոյ ի դարս, որպէս {reg59?զՄեծ Թագուհի:զՄեծ Թագաւոր} ամենայն ժամանակաց:
dlga_donnachdh_dwywei_conv4:donnachdh_dwywei_conv6|Իմանամ զատելութիւն քո առ Շոտլանդացիս, այլ Դոննչադ այր պատուաւոր է:
dlga_morrigan1_dialog8:morrigan1_dialog9|Մաէլ Բրեսաիլ գործածեա՞ց զիս: Ես ոչ եմ սպանո՛ղ!
dlga_rebel_leader:rebel_ok|Այո՛, ես առաջնորդեցից ձեզ ի յաղթանակ! Կործանեսցո՛ւք զբռնակալն!
dlga_start:priest_heresy_defended_final_v3|Դուք տարածէք սխալ ուսմունք! Ձեր հոգին է ի վտանգի!
dlga_kinghorik_quest_thething30:kinghorik_quest_thething31|Ատեանն զստացեալ դրամսն մատուսցէ Սուենայ Ցլապարանոցի: Գինն վասն հեղեալ արեան հատուցեալ է: Առաջի Աստուածոց եւ մարդկան, այս թշնամութիւն աւարտեալ է:
dlga_lord_talk:reclutar_permiso1|Կամիմ խնդրել զթոյլտուութիւն ժողովելոյ մարտիկս ի ձերում հողս:
